state,district_number,year,democratic_vote_percentage,republican_vote_percentage,efficiency_gap,bias
TEXAS,19,1976,54.64,45.36,0.16,0.098
TEXAS,20,1976,100.0,0.0,0.16,0.098
TEXAS,21,1976,72.66,27.34,0.16,0.098
TEXAS,22,1976,50.07,49.93,0.16,0.098
TEXAS,23,1976,100.0,0.0,0.16,0.098
TEXAS,24,1976,63.74,36.26,0.16,0.098
VIRGINIA,1,1976,49.43,50.57,-0.073,-0.051
VIRGINIA,2,1976,34.31,65.69,-0.073,-0.051
VIRGINIA,3,1976,100.0,0.0,-0.073,-0.051
VIRGINIA,4,1976,46.97,53.03,-0.073,-0.051
VIRGINIA,5,1976,100.0,0.0,-0.073,-0.051
VIRGINIA,6,1976,0.0,100.0,-0.073,-0.051
VIRGINIA,7,1976,0.0,100.0,-0.073,-0.051
VIRGINIA,8,1976,54.78,45.22,-0.073,-0.051
VIRGINIA,9,1976,42.65,57.35,-0.073,-0.051
VIRGINIA,10,1976,58.48,41.52,-0.073,-0.051
WASHINGTON,1,1976,26.44,73.56,0.153,0.09
WASHINGTON,2,1976,50.13,49.87,0.153,0.09
WASHINGTON,3,1976,71.63,28.37,0.153,0.09
WASHINGTON,4,1976,58.51,41.49,0.153,0.09
WASHINGTON,5,1976,58.83,41.17,0.153,0.09
WASHINGTON,6,1976,74.37,25.63,0.153,0.09
WASHINGTON,7,1976,74.21,25.79,0.153,0.09
WISCONSIN,1,1976,65.59,34.41,0.053,0.068
WISCONSIN,2,1976,65.6,34.4,0.053,0.068
WISCONSIN,3,1976,58.12,41.88,0.053,0.068
WISCONSIN,4,1976,100.0,0.0,0.053,0.068
WISCONSIN,5,1976,78.75,21.25,0.053,0.068
WISCONSIN,6,1976,36.65,63.35,0.053,0.068
WISCONSIN,7,1976,73.76,26.24,0.053,0.068
WISCONSIN,8,1976,52.01,47.99,0.053,0.068
WISCONSIN,9,1976,34.09,65.91,0.053,0.068
ALABAMA,1,1978,36.06,63.94,-0.074,0.071
ALABAMA,2,1978,46.0,54.0,-0.074,0.071
ALABAMA,3,1978,100.0,0.0,-0.074,0.071
ALABAMA,4,1978,100.0,0.0,-0.074,0.071
ALABAMA,5,1978,100.0,0.0,-0.074,0.071
ALABAMA,6,1978,38.29,61.71,-0.074,0.071
ALABAMA,7,1978,97.69,2.31,-0.074,0.071
CALIFORNIA,1,1978,59.35,40.65,0.048,0.042
CALIFORNIA,2,1978,46.56,53.44,0.048,0.042
CALIFORNIA,3,1978,53.44,46.56,0.048,0.042
CALIFORNIA,4,1978,55.37,44.63,0.048,0.042
CALIFORNIA,5,1978,66.84,33.16,0.048,0.042
CALIFORNIA,6,1978,70.94,29.06,0.048,0.042
CALIFORNIA,7,1978,65.28,34.72,0.048,0.042
CALIFORNIA,8,1978,57.36,42.64,0.048,0.042
CALIFORNIA,9,1978,68.19,31.81,0.048,0.042
CALIFORNIA,10,1978,67.13,32.87,0.048,0.042
CALIFORNIA,11,1978,62.97,37.03,0.048,0.042
CALIFORNIA,12,1978,22.76,77.24,0.048,0.042
CALIFORNIA,13,1978,59.26,40.74,0.048,0.042
